,Bug ID,Duplicate_Bug_Ids,Average_Cos_Similarity_Trigram,Summary1,description1,summary2,description2,is_similar
546,570968.0,570967.0,0.006797531009182893,"['Mistake in code org.eclipse.ui.navigator.resources.ResourceDropAdapterAssistant.performResourceMove(CommonDropAdapter, IResource[])']",['line     field returnstatus checked before execution where it assigned   code      returnstatus   null      irunnablewithprogress checkop   monitor           try         refactoringstatus   refactoring checkallconditions          catch           returnstatus   workbenchnavigatorplugin createerrorstatus   ex                      if        return returnstatus       try        platformui getworkbench  getprogressservice  run         catch          return status cancel status        catch          return workbenchnavigatorplugin createerrorstatus   e          code '],"['Mistake in code org.eclipse.ui.navigator.resources.ResourceDropAdapterAssistant.performResourceMove(CommonDropAdapter, IResource[])']",['created attachment   screenshot of code  line     field returnstatus checked before execution where it assigned   code      returnstatus   null      irunnablewithprogress checkop   monitor           try         refactoringstatus   refactoring checkallconditions          catch           returnstatus   workbenchnavigatorplugin createerrorstatus   ex                      if        return returnstatus       try        platformui getworkbench  getprogressservice  run         catch          return status cancel status        catch          return workbenchnavigatorplugin createerrorstatus   e          code '],1
547,571324.0,571325.0,0.01173563214397405,['[Passage][Operator] encrypted icenses cannot be issued'],['been run as executable product  operator does not have framework service and thus cannot find codec to encrypt a license or satelite data '],['[Passage][Operator] encrypted licenses cannot be issued'],['been run as executable product  operator does not have framework service and thus cannot find codec to encrypt a license or satelite data '],1
548,571595.0,575731.0,0.012725774869405026,['Force https on download.eclipse.or and archive.eclipse.org'],['download e o and archive e o still supports http  in fact  we don t even publish an hsts for those two  i think the time has come to send an hsts for those hosts  and redirect http to https '],['download.eclipse.org/releases/ and download.eclipse.org/technology/ do not upgrade HTTP to HTTPS'],['based on   bug cgi id      the page     does not upgrade the request to use https when accessed using the browser '],1
549,571806.0,576448.0,0.006620470592731733,['[16][record][compiler] internal -canonical bit set for non-record - investigate'],['follow up of bug   comment     to investigate'],['Compile error shown when working with records though everything runs fine'],['created attachment   example source  in our code we have a record  with   arguments  that implements an interface  this interface provides static helper methods to create record instances with varying arguments  and as far as i could not track down these static helper methods cause eclipse to show an error in the record file for   of the   constructors   the body of a canonical constructor must not contain an explicit constructor call   i attached an example  i tried to simply it more  but couldn t figure out the core issue '],1
550,571837.0,569498.0,0.014205155320055259,"[""Ternary operator with a boolean static final constant don't work furthermore when used in a Collection add""]",['i encounter a bug on the     version with this code    public class testbug     public static final boolean test   true    public void test      collection string  test   new linkedlist       test add           to resolve that i can declare the test as   public static final boolean test   boolean true   or   public static boolean test   true   or   string test   test    true     false   test add  '],"['field ""cannot be resolved to a variable"" in ternary expression as method argument with String expression type']",['when these things come together      a ternary expression serves as method argument     the condition or the alternatives of that ternary operator reference one or more explicitly final static or not static fields or explicitly final variables that all have their values assigned at their respective declarations     all  condition and both alternatives  contain only literals or variables as those described in   and hence can be easily evaluated at compile time     the value type of the alternatives   is string     no null appears anywhere in the ternary expression     no boxing or unboxing is done anywhere in the ternary expression     there is no explicit non string cast anywhere in the ternary expression and there is no cast at all of the result of ternary expression      then eclipse tells me for each field as described in   that it  cannot be resolved to a variable  and for each method local variable that it  cannot be resolved or is not a field   although the compiler from openjdk   successfully compiles the code      here is a minimalistic example class   public class c    final string           public void m      final boolean b   false    final string            m         b cannot be resolved or is not a field   cannot be resolved to a variable   cannot be resolved or is not a field    about eclipse ide  says   eclipse ide for java developers    version          build id        '],1
551,572275.0,571952.0,0.010791483212572719,['4.20 JDT UI Gerrits taking extremely long time'],['jdt ui gerrits which used to take   mints    now have not yet finished after   hrs   ex    gerrit  '],['Slow build performance since beginning of March (okd cluster)'],['hi    since beginning of march  we noticed that our jobs are now twice longer  can you investigate on your side  perhaps something unoticed has changed in capella ci    a capella build was taking around   before march is now taking up to   to complete     product job master  thanks regards  philippe'],1
552,572279.0,572281.0,0.01492195095043601,['[Passage] publish lic.jetty feature'],['org eclipse passage lic jetty feature should be available outside on passage product    thus it must be published by means of releng lic category'],['[Passage] publish lic.jetty feature'],['org eclipse passage lic jetty feature should be available outside on passage product    thus it must be published by means of releng lic category'],1
553,572779.0,572780.0,0.008713809672101858,['Updating a comparison may raise an IllegalStateException'],['see   '],['Updating a comparison raises a NullPointerException'],['see     second stack trace '],1
554,572835.0,572834.0,0.015110344048341507,['[Passage][FLS] reissue common-use license'],['during       api breakage old licenses are not to be readable as they are  migration for personal licenses of previous versions are to be supplied    nevertheless  it ll be nice to have a license of modern type for passage own products '],['[Passage][FLS] reissue common-use license'],['during       api breakage old licenses are not to be readable as they are  migration for personal licenses of previous versions are to be supplied    nevertheless  it ll be nice to have a license of modern type for passage own products '],1
555,572898.0,571958.0,0.015520004903537298,['Move eclipse/che-workspace-client and eclipse/che-dashboard to eclipse-che organization'],['to avoid github actions limits   che needs additional permissions for our openshift ci pr checks  che related repos are moving to eclipse che organization   it s time to move     dashboard and    workspace client  repos names should be untouched   it would be also great if these repos get default branch renaming  master    main  it should be done via github ui   renaming existing branches  i can create a separate ticket for branch renaming if needed   thanks '],['Migrate che repositories from eclipse org to eclipse-che org'],['hello   we would like to start to migrate repository from  eclipse  org to new organization eclipse che     the second repository to migrate will be   operator  can we start to migrate this repository  please   can you invite please mykola morhun and oleksandr andriienko to the new organization  please   thank you        bug cgi id  '],1
556,572971.0,512408.0,0.013259984238398389,"[""Bugzilla searches don't update""]",['for instance     seems to be stuck  it always give a list that starts with       with a changed time of             edt  even though there have been multiple comments on that bug since then         chfieldfrom    chfieldto now list id   order changeddate       product egit query format advanced'],['Bugzilla search does not find latest changes'],['search for bugs that i ve commented on in the past   days        no results  but it should find at least bug      bug cgi id    '],1
557,573172.0,509999.0,0.014280323539051567,"['[organize imports] ""Organize Imports"" very slow']",['created attachment   thread dumps  on specific classes in our project   organize imports  takes very long to finish  for example  a     lines class takes   seconds on a core   machine  the time gets doubled on each repetition  so next  organize imports  call takes   seconds an so on  please see provided thread dump sequences  other bigger than   classes cause no problem '],['[organize imports] UI freeze during organize imports save action'],['sometimes ui freeze for a second when automatic build is enabled and organize imports save action is enabled  looks like organize imports save action wait for build to complete   sample stack trace  java lang exception  stack trace  at java lang object wait   at org eclipse jdt internal ui javaeditor astprovider getast   at org eclipse jdt ui sharedastprovider getast   at org eclipse jdt ui actions organizeimportsaction run   at org eclipse jdt ui actions organizeimportsaction run   at org eclipse jdt ui actions selectiondispatchaction dispatchrun   at org eclipse jdt ui actions selectiondispatchaction run   at org eclipse jface action action runwithevent   at org eclipse jface commands actionhandler execute   at org eclipse ui internal handlers   execute   at sun reflect   invoke   at sun reflect delegatingmethodaccessorimpl invoke   at java lang reflect method invoke   at org eclipse   core internal di methodrequestor execute   at org eclipse   core internal di injectorimpl invokeusingclass   at org eclipse   core internal di injectorimpl invoke   at org eclipse   core contexts contextinjectionfactory invoke   at org eclipse   core commands internal handlerservicehandler execute   at org eclipse core commands command executewithchecks   at org eclipse core commands parameterizedcommand executewithchecks   at org eclipse   core commands internal handlerserviceimpl executehandler   at org eclipse   ui bindings keys keybindingdispatcher executecommand   at org eclipse   ui bindings keys keybindingdispatcher press   at org eclipse   ui bindings keys keybindingdispatcher processkeyevent   at org eclipse   ui bindings keys keybindingdispatcher filterkeysequencebindings   at org eclipse   ui bindings keys keybindingdispatcher access     at org eclipse   ui bindings keys keybindingdispatcher keydownfilter handleevent   at org eclipse swt widgets eventtable sendevent   at org eclipse swt widgets display filterevent   at org eclipse swt widgets widget sendevent   at org eclipse swt widgets widget sendevent   at org eclipse swt widgets widget sendevent   at org eclipse swt widgets widget sendkeyevent   at org eclipse swt widgets widget gtk key press event   at org eclipse swt widgets control gtk key press event   at org eclipse swt widgets composite gtk key press event   at org eclipse swt widgets widget windowproc   at org eclipse swt widgets control windowproc   at org eclipse swt widgets display windowproc   at org eclipse swt internal gtk os  gtk main do event   at org eclipse swt internal gtk os gtk main do event   at org eclipse swt widgets display eventproc   at org eclipse swt internal gtk os  g main context iteration   at org eclipse swt internal gtk os g main context iteration   at org eclipse swt widgets display readanddispatch   at org eclipse   ui internal workbench swt partrenderingengine   run   at org eclipse core databinding observable realm runwithdefault   at org eclipse   ui internal workbench swt partrenderingengine run   at org eclipse   ui internal workbench   createandrunui   at org eclipse ui internal workbench   run   at org eclipse core databinding observable realm runwithdefault   at org eclipse ui internal workbench createandrunworkbench   at org eclipse ui platformui createandrunworkbench   at org eclipse ui internal ide application ideapplication start   at org eclipse equinox internal app eclipseapphandle run   at org eclipse core runtime internal adaptor eclipseapplauncher runapplication   at org eclipse core runtime internal adaptor eclipseapplauncher start   at org eclipse core runtime adaptor eclipsestarter run   at org eclipse core runtime adaptor eclipsestarter run   at sun reflect nativemethodaccessorimpl     at sun reflect nativemethodaccessorimpl invoke   at sun reflect delegatingmethodaccessorimpl invoke   at java lang reflect method invoke   at org eclipse equinox launcher main invokeframework   at org eclipse equinox launcher main basicrun   at org eclipse equinox launcher main run   at org eclipse equinox launcher main main '],1
560,573452.0,573496.0,0.009786324090632398,"['Refactor -> rename accessor method removes ""()""']",['public record r       private void           private void method      int a   comp    this comp              here            select comp in the line  this comp         refactor rename to    expected result   this    actual result     this  '],['7 RenameRecordElementsTests fail since I20210510-1800'],['  renamerecordelementstests fail since      see for example        testresults html org eclipse jdt ui tests   unit       gtk   html  invalid renaming expected     etval    return g       public int g     but was     etval    return g      public int g      org junit comparisonfailure  invalid renaming expected     etval    return g        public int g     but was     etval    return g       public int g     at org junit assert assertequals  at org eclipse jdt ui tests refactoring genericrefactoringtest assertequallines  at org eclipse jdt ui tests refactoring renamerecordelementstests renamerecordcompactconstructor  at org eclipse jdt ui tests refactoring renamerecordelementstests testrenamerecordcanonicalconstructorexplicitaccessor    this is a regression from bug   commit     switching jdt to   fixes failures '],1
561,573609.0,573829.0,0.01392910712380244,['display DWORD watch value in hex'],['dword display value in online view  where  system explorer   workspace   online view  dword values are only interesting in hexadecimal view     ffff and not in decimal view     runtime delivers integer    what would make most sense  convert it to  word in watch module    show all anybit as hex   xxxx xxxx  '],['Display hex value in monitoring'],['for bit values besides bool the value should be displayed as hex value  only if the system is monitored '],1
562,573621.0,574912.0,0.013425909599917291,['[content assist] completion shows 1 completion proposal processors requested. 0 completed; 1   pending.'],['follow up of bug   comment    a slightly modified code    is given below  import java util objects  import java util function function   public class reproducehang       function string  object  field               private final int i   objects  requirenonnull     line     complete after                    public static void main            function string  object  localvar                   private final int i   objects requirenonnull          line                        on completion after objects  at line   gives  computing proposals     completion proposal processors requested    completed    pending  '],['[content assist] Content assist in lambda hangs worker threads or runs into error dialog'],['eclipse jdt s code completion with  chain template proposals  enabled freezes eclipse  takes one cpu core to    usage   enable non blocking completion  is checked in preferences java    editor    content assist    advanced   the following code shows this behavior   import java util calendar  import java util date  import java util function supplier   public class lambdafreeze      public static final supplier date  supplier                calendar calendar   calendar getinstance         calendar set calendar      try to autocomplete after the     here freezes eclipse s main thread                              return calendar gettime            i grabbed the stacktrace from eclipse s main thread while it hangs    main    thread t      java lang thread state  runnable  at org eclipse jdt internal compiler parser scanner  init    at org eclipse jdt internal compiler parser scanner  init    at org eclipse jdt internal codeassist complete completionscanner  init    at org eclipse jdt internal codeassist complete completionparser initializescanner   at org eclipse jdt internal compiler parser parser  init    at org eclipse jdt internal codeassist impl assistparser  init    at org eclipse jdt internal codeassist complete completionparser  init    at org eclipse jdt internal codeassist complete completionparser createsnapshotparser   at org eclipse jdt internal codeassist complete completionparser updaterecoverystate   at org eclipse jdt internal compiler parser parser resumeonsyntaxerror   at org eclipse jdt internal codeassist complete completionparser resumeonsyntaxerror   at org eclipse jdt internal compiler parser parser parse   at org eclipse jdt internal compiler parser parser parse   at org eclipse jdt internal compiler parser parser parse   at org eclipse jdt internal compiler parser parser dietparse   at org eclipse jdt internal codeassist complete completionparser dietparse   at org eclipse jdt internal codeassist completionengine complete   at org eclipse jdt internal core openable codecomplete   at org eclipse jdt internal core compilationunit codecomplete   at org eclipse jdt internal core compilationunit codecomplete   at org eclipse jdt internal ui text java chaincompletionproposalcomputer initializerequiredcontext   at org eclipse jdt internal ui text java chaincompletionproposalcomputer computecompletionproposals   at org eclipse jdt internal ui text java completionproposalcomputerdescriptor computecompletionproposals   at org eclipse jdt internal ui text java completionproposalcategory computecompletionproposals   at org eclipse jdt internal ui text java contentassistprocessor collectproposals   at org eclipse jdt internal ui text java contentassistprocessor computecompletionproposals   at org eclipse jface text contentassist contentassistant   lambda     at org eclipse jface text contentassist contentassistant    lambda     accept   at java base       java util collections singletonset foreach   at org eclipse jface text contentassist contentassistant   run   at org eclipse core runtime saferunner run   at org eclipse jface text contentassist contentassistant computecompletionproposals   at org eclipse jface text contentassist completionproposalpopup computeproposals   at org eclipse jface text contentassist completionproposalpopup lambda     at org eclipse jface text contentassist completionproposalpopup  lambda     run   at org eclipse swt custom busyindicator showwhile   at org eclipse jface text contentassist completionproposalpopup showproposals   at org eclipse jface text contentassist contentassistant autoassistlistener lambda     at org eclipse jface text contentassist contentassistant autoassistlistener  lambda     run   at org eclipse swt widgets runnablelock run   at org eclipse swt widgets synchronizer runasyncmessages     locked        at org eclipse swt widgets display runasyncmessages   at org eclipse swt widgets display readanddispatch   at org eclipse   ui internal workbench swt partrenderingengine   run   at org eclipse core databinding observable realm runwithdefault   at org eclipse   ui internal workbench swt partrenderingengine run   at org eclipse   ui internal workbench   createandrunui   at org eclipse ui internal workbench lambda     at org eclipse ui internal workbench  lambda     run   at org eclipse core databinding observable realm runwithdefault   at org eclipse ui internal workbench createandrunworkbench   at org eclipse ui platformui createandrunworkbench   at org eclipse ui internal ide application ideapplication start   at org eclipse equinox internal app eclipseapphandle run   at org eclipse core runtime internal adaptor eclipseapplauncher runapplication   at org eclipse core runtime internal adaptor eclipseapplauncher start   at org eclipse core runtime adaptor eclipsestarter run   at org eclipse core runtime adaptor eclipsestarter run   at java base       jdk internal reflect nativemethodaccessorimpl     at java base       jdk internal reflect nativemethodaccessorimpl invoke   at java base       jdk internal reflect delegatingmethodaccessorimpl invoke   at java base       java lang reflect method invoke   at app  org eclipse equinox launcher main invokeframework   at app  org eclipse equinox launcher main basicrun   at app  org eclipse equinox launcher main run   i don t expect that eclipse jdt compute the template proposals in the main thread when  enable non blocking completion  is enabled and  chain template proposals  are ticked   ps   i noticed that the code completion often fails with the following message when  chain template proposals  are not enabled   the  org eclipse jdt ui javaallcompletionproposalcomputer  proposal computer from the  org eclipse jdt ui  plug in did not complete normally  the extension took too long to return from the  computecompletionproposals   operation '],1
563,574013.0,571952.0,0.014438367777035718,['SWTBot gerrit build randomly failing'],['  gerrit  was reliably passing till may    but it is observed to be failing randomly since june    after some re trigger attempts  it passes  swtbot has ui tests  could you check whether there is any change in infra migration agents '],['Slow build performance since beginning of March (okd cluster)'],['hi    since beginning of march  we noticed that our jobs are now twice longer  can you investigate on your side  perhaps something unoticed has changed in capella ci    a capella build was taking around   before march is now taking up to   to complete     product job master  thanks regards  philippe'],1
564,574222.0,574223.0,0.010243861556098308,"['Lttng ""Enable Events"" dialog can not display completely on windows host']",['created attachment   cannot see ok button  lttng  enable events  dialog can not display completely on windows host'],"['Lttng ""Enable Events"" dialog can not display completely on windows host']",['lttng  enable events  dialog can not display completely on windows host'],1
565,574506.0,574505.0,0.011849763926840147,"[""GitLab repos don't show up on Developer Resources""]",['please see    coremodules  gitlab repos show up on the overview page  but not on the developer resources page  gerrit and github repos show up under developer resources   reference     issues    '],"[""GitLab repos don't show up on Developer Resources""]",['please see    coremodules  gitlab repos show up on the overview page  but not on the developer resources page  gerrit and github repos show up under developer resources   reference     issues    '],1
566,574648.0,574351.0,0.014671721978577355,['[macOS] Typing <> in comment remains invisible for some time.'],['since       typing some html inside a comment behaves very strange  i want to type  this method is only called by  b xyz  b     while typing  the     disappears and only reappears when i type on  contrary  typing code like   arraylist string  u   behaves normal   i have seen more temporary phenomenons while typing comment  but the     case is a steady one   joop '],['[mac][regression] slow refresh/editor cheese while typing'],['i ve noticed in the     release that when i klick at the end of a method name in the method signature   and start inserting characters then the newly inserted text is not visible for a while and some ui glitching happens  this was not the case in     '],1
567,575358.0,575369.0,0.006856833046326677,['record JaCoCo coverage report for Parsson JIPP'],['hello   could you please add record jacoco coverage report post build action for the parsson s jipp   thank you '],['missing record JaCoCo coverage report post build action'],['hello   could you please add   record jacoco coverage report  post build action to following jipps   angus   bean validation ca cu eclipselink   ejb el es grizzly jacc jaf jakartaee platform jakartaee stable jaxb impl jaxb jaxrs jaxws jca jersey jpa jsonb jsonp jsp jstl jta mail mojarra orb parsson   servlet soteria tyrus websocket yasson  thank you '],1
568,575359.0,575369.0,0.006856833046326677,['record JaCoCo coverage report for Angus JIPP'],['hello   could you please add record jacoco coverage report post build action for the angus  jipp   thank you '],['missing record JaCoCo coverage report post build action'],['hello   could you please add   record jacoco coverage report  post build action to following jipps   angus   bean validation ca cu eclipselink   ejb el es grizzly jacc jaf jakartaee platform jakartaee stable jaxb impl jaxb jaxrs jaxws jca jersey jpa jsonb jsonp jsp jstl jta mail mojarra orb parsson   servlet soteria tyrus websocket yasson  thank you '],1
569,575735.0,574091.0,0.003260098406637827,['Windows test machine attached to Releng JIPP is down'],['   windows   vnc  went offline just now'],['Windows test machine attached to Releng JIPP is down'],['   windows   vnc  is offline'],1
570,575811.0,574338.0,0.008467213963728269,['completion not find local variable'],['created attachment   completion not proposal variable abcde  on eclipse build id       completion not find local variable  abcde  in this source   but find it i i do before the  if              private void sendinfo  throws exception       jsonbuilder js   new jsonbuilder       int abcde          js begin       js addokmsg       js beginobject        if            js addfield         js addfield         js addfield         js addfield    todo  recuperer conde langue abc completion not work here  see image        js addfield          js addfield         else         wsuser user   context getcurrentuser         js addfield         js addfield         js addfield         js addfield         js addfield         js addfield              js endobject       js end       servletio sendjson                    if i remove the   lines  it work            js addfield    todo  recuperer conde langue       js addfield          js addfield  '],['[content assist] [regression] no content assist for variables in conditional blocks'],['related to bug     version        build id       public class snippet    private boolean flag    private void test      if                                  content assist here    list string  scs   c sublist            string test      return null        content assist only offers the type snippet  not test  or c '],1
572,576010.0,576014.0,0.013311161563905063,['Must have push access to view collaborator permission - for github access by openmq-bot'],['i noticed following    file indexing consoletext    at   build and test using jenkinsfile indexing console     it resulted in disabling   build and test using jenkinsfile view change requests job pr     for still open     openmq pull   '],['Jenkins is missing permissions to build PRs'],['currently no pr are picked up due to missing permissions     github indexing console  error while processing pull request   java io filenotfoundexception     at org kohsuke github extras   obsoleteurlfactory okhttpurlconnection getinputstream   at org kohsuke github extras   obsoleteurlfactory delegatinghttpsurlconnection getinputstream   at org kohsuke github githubhttpurlconnectionclient httpurlconnectionresponseinfo bodystream   at org kohsuke github githubresponse responseinfo getbodyasstring   at org kohsuke github githubresponse parsebody   at org kohsuke github requester lambda fetch     at org kohsuke github requester  lambda     apply   at org kohsuke github githubclient createresponse   at org kohsuke github githubclient sendrequest  caused  org kohsuke github ghfilenotfoundexception      message   must have push access to view collaborator permission    documentation url     get repository permissions for a user  '],1
574,576263.0,538000.0,0.01350466846389476,"[""gtk_box_gadget_distribute: assertion 'size >= 0' failed in GtkScrollbar""]",['hello   with export gtk overlay scrolling    i get this dump  lots and lots of them    tk box gadget distribute  assertion  size       failed in gtkscrollbar code file gtkboxgadget c code func gtk box gadget distribute code line   glib domain gtk priority    audit loginuid    audit session    boot id    cap effective     cmdline  opt eclipse jee     r linux gtk eclipse  plugins org        comm java  exe  opt eclipse jee     r linux gtk eclipse plugins org eclipse justj openjdk hotspot jre full linux           jre bin java  gid    hostname me co uk  machine id    pid    source realtime timestamp    systemd cgroup  user slice user   slice session   scope  systemd invocation id    systemd owner uid    systemd session    systemd slice user   slice  systemd unit session   scope  systemd user slice   slice  transport journal  uid     cursor s   i   b   m   t   x     monotonic timestamp     realtime timestamp  '],"['GTK critical warnings ""assertion \'size >= 0\' failed in GtkScrollbar""']",['reported originally as bug   comment    point    still in     swt head on rhel           opening preferences         gtk critical     gtk box gadget distribute  assertion  size       failed in gtkscrollbar      gtk critical     gtk box gadget distribute  assertion  size       failed in gtkscrollbar      gtk critical     gtk box gadget distribute  assertion  size       failed in gtkscrollbar      gtk critical     gtk box gadget distribute  assertion  size       failed in gtkscrollbar  reported also at gtk tracker as     with no answer so far   those scrollbar errors fill my console  they are responsible may be for      of all  gtk critical  garbage '],1
575,576384.0,575285.0,0.012314002953579104,['[EASE] JIPP provides just 1 executor'],['my build jobs use a master job to trigger other jobs  this does not work anymore as it seems there is only   executor available anymore     job is reporting   still waiting to schedule task waiting for next available executor'],['No agent available (or less than expected) on Jenkins instance'],['like   bug cgi id    just before i started to see only one agent assigned to do the work  the job   build and test using jenkinsfile view change requests job pr      failed with    running on basic   in  home jenkins agent workspace d test using jenkinsfile pr    pipeline     pipeline  checkout the recommended git tool is  git creating placeholder flownodes because failed loading originals  java io ioexception  tried to load head flownodes for execution owner openmq build and test using jenkinsfile pr     openmq build and test using jenkinsfile pr       but flownode was not found in storage for head id flownodeid      at org jenkinsci plugins workflow cps cpsflowexecution initializestorage   at org jenkinsci plugins workflow cps cpsflowexecution onload   at org jenkinsci plugins workflow job workflowrun getexecution   at org jenkinsci plugins workflow job workflowrun onload   at hudson model runmap retrieve   at hudson model runmap retrieve   at jenkins model lazy abstractlazyloadrunmap load   at jenkins model lazy abstractlazyloadrunmap load   at jenkins model lazy abstractlazyloadrunmap getbynumber   at hudson model runmap getbyid   at org jenkinsci plugins workflow job workflowrun owner run   at org jenkinsci plugins workflow job workflowrun owner get   at org jenkinsci plugins workflow cps cpsstepcontext getexecution   at org jenkinsci plugins workflow cps cpsstepcontext getthreadgroupsynchronously   at org jenkinsci plugins workflow cps cpsstepcontext access     at org jenkinsci plugins workflow cps cpsstepcontext   call   at org jenkinsci plugins workflow cps cpsstepcontext   call   at jenkins util contextresettingexecutorservice   call   at java base java util concurrent futuretask run   at java base java util concurrent threadpoolexecutor runworker   at java base java util concurrent threadpoolexecutor worker run   at java base java lang thread run '],1
577,576573.0,575631.0,0.011974108352275581,['no content assist for Class static method in conditional blocks'],['related to   bug cgi id   no proposals  in try catch block  and before local variable  public static void test        object   foo   new object         if             try               thread               object bar   new object             catch                    todo  handle exception                  '],"['[content assist] missing static method proposals in conditional, before variable declaration']",['in the following example no proposals are shown    public static void staticmethod      if        localdatetime now     calendar calendar   calendar getinstance           tested in version        build id       worked in    '],1
579,576848.0,577166.0,0.010010159747732318,['Scout JIPP: Waiting for next available executor'],['all our jenkins jobs got stuck in status  waiting for next available executor       could you have a look at it   thank you'],['Jobs dont start on Jenkins instances'],['e g     lib job master   console   umbrella job master   console'],1
580,577177.0,577166.0,0.008065368653095723,"[""che4z Jenkins can't find executors""]",['the   jenkins   has no available executors and therefore cannot run any job  could you help us with this   thanks  anton '],['Jobs dont start on Jenkins instances'],['e g     lib job master   console   umbrella job master   console'],1
581,577183.0,577166.0,0.00850825576635055,['ci job stuck https://ci.eclipse.org/che/job/che-docs-pipeline/job/master/'],['it seems jobs in   docs pipeline wait forever for an executor  maybe related to jenkins   infra '],['Jobs dont start on Jenkins instances'],['e g     lib job master   console   umbrella job master   console'],1
582,577200.0,577166.0,0.014055234838101647,['Trace Compass CI job hanging'],['all ci jobs are hanging with the following message in the log   all nodes of label  tracecompass build  are offline'],['Jobs dont start on Jenkins instances'],['e g     lib job master   console   umbrella job master   console'],1
583,577213.0,577212.0,0.013515380768048492,['Debug View Remains empty when opened before debugging'],['created attachment   screenshot  build id         open debug view      launch debug   public class     public static void main  throws interruptedexception    thread sleep           debug view empty  nok     close debug view    open debug view    debug view normal  ok   with     i did not have that problem '],['[win32] Variables and Breakpoints view broken / first part of ShashForm is not shown'],['created attachment   screenshot  the variables and debug views are broken with the latest i builds after bug    being merged   the   half of the sashform is not rendered anymore   steps to reproduce    remove all breakpoints   close variables and breakpoints views   restart eclipse   open variables and breakpoints views  see also screenshot attached '],1
584,577470.0,577390.0,0.009190562701254536,['9 JUnit failures noticed on Linux'],['  junit failures noticed since below ibuild onwards         testresults php  not sure if below commit is causing the failures    id  '],['[webkitgtk 2.32+] browser callbacks do not work anymore'],['first occurrence         testresults php  latest build          testresults html org eclipse swt   unit       gtk   html  common root cause  callbacks from browser to java seem not work anymore  since there were no significant swt changes  i assume this could be caused by some environment change  may be webkit update   stack   org eclipse swt tests junit test org eclipse swt browser browser test browserfunction callback   java lang assertionerror  java failed to get a callback from javascript  test timed out at org junit assert fail  at org junit assert asserttrue  at org eclipse swt tests junit test org eclipse swt browser browser test browserfunction callback '],1
585,577498.0,577166.0,0.007509077795896853,['Jobs are not starting on https://ci.eclipse.org/releng/'],['there no new jobs getting triggered from releng jenkins instance  can you please take a look '],['Jobs dont start on Jenkins instances'],['e g     lib job master   console   umbrella job master   console'],1
586,577589.0,577166.0,0.009856161960302798,['Jenkins no executors'],['hello   it seems that jenkins can t spawn new executors  some jobs have been hanging for days   see    testing '],['Jobs dont start on Jenkins instances'],['e g     lib job master   console   umbrella job master   console'],1
588,577716.0,577166.0,0.012615348561770837,['JIPP Help for Amlen - builds stuck'],['all the builds kicked off from    are  waiting for next available executor  e g     console   this appears to be a repeat of    bug cgi id    '],['Jobs dont start on Jenkins instances'],['e g     lib job master   console   umbrella job master   console'],1
589,577970.0,577954.0,0.01420613416051353,['Update to 6.1.0.202112202253 hides all branches with LFS support'],['test steps   install egit         with optional lfs support import a git repository with some branches that have lfs resources and some that do not  ensure both work  checkout a branch with lfs files  update to egit         expected  visible branches are unchanged  actual  only non lfs branches are visible  git repository view shows a   no head   decoration for the repository '],['[Win32] Repository.exactRef(Constants.HEAD) returns null even if the repository has a HEAD'],['for the user visible effect  see the forum at       occurs only on windows  caused by      committed on stable     and merged up to master  luckily this was after the     release had been cut  so only egit nightly is affected   the problem is that on windows  we get a windowsfileattributes instance  and windowsfileattributes getfilekey  returns null  filesnapshot getfilekey  then returns missing filekey even for existing files  so it cannot be used in filesnapshot fileexists                    '],1
592,519599.0,516717.0,0.014329383417352062,['[Architecture Framework] Invalid preference category path'],['tested on papyrus oxygen release and nightly  steps to reproduced window    preferences    papyrus    architecture context  result   following message invalid preference category path  org eclipse papyrus infra properties ui propertyview  '],['Invalid preference category path: org.eclipse.papyrus.infra.properties.ui.propertyview'],['each time you open the preference dialog the first time in a new papyrus instance    a warning is logged in the error log   org eclipse ui warning tue may         cest   invalid preference category path  org eclipse papyrus infra properties ui propertyview  '],1
593,522679.0,519491.0,0.013766346515302655,['[9] Configure > Create module-info.java generates an extra javadoc block'],['  create a java   project   right click on it  configure   create module info java a new module info java is created with an extra javadoc block                       author username        module projectname    exports some package   '],['[9][templates] module-info.java is created with both file and type comments'],['see title  when i do configure    create module info java i get                         author scela         before the module declaration '],1
